Student,College,Honours,Program,Program Code,Faculty,學院
UC 1,UC,1,Anthropology,ANTH,Faculty of Arts,文學院
NA 1,NA,1,Anthropology,ANTH,Faculty of Arts,文學院
SC 1,SC,1,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 3,NA,3,Anthropology,ANTH,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
CC 3,CC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
UC 3,UC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
SC 3,SC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
UC 3,UC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
SC 2,SC,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
SC 3,SC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
SC 3,SC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
CC 3,CC,3,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
NA 2,NA,2,Bimodal Bilingual Studies,BMBL,Faculty of Arts,文學院
